Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-20, Titans, 104, 26, 212, 35, 22, 6, 59, 1, 0, 22, 13, 5, 0, 0, 1895, 13, Jaguars, 90, 23, 218, 31, 21, 8, 88, 1, 1, 18, 13, 4, 0, 0, 1705, 19
2015-11-22, Cowboys, 166, 38, 220, 28, 18, 10, 79, 0, 2, 22, 14, 7, 2, 1, 2330, 24, Dolphins, 70, 14, 140, 24, 13, 9, 74, 0, 1, 9, 10, 1, 1, 0, 1270, 14
2015-11-22, Broncos, 170, 36, 219, 27, 20, 8, 118, 0, 0, 21, 14, 6, 1, 0, 1993, 17, Bears, 86, 25, 261, 32, 18, 0, 0, 1, 1, 19, 12, 4, 1, 0, 1607, 15
2015-11-22, Packers, 124, 34, 196, 34, 16, 4, 19, 0, 0, 19, 16, 6, 0, 0, 1822, 30, Vikings, 94, 18, 248, 38, 25, 8, 110, 1, 0, 16, 13, 5, 2, 0, 1778, 13
2015-11-22, Colts, 74, 27, 202, 32, 23, 7, 42, 1, 2, 17, 14, 7, 0, 0, 1959, 24, Falcons, 100, 24, 275, 46, 25, 6, 69, 1, 3, 21, 16, 8, 1, 0, 1641, 21
2015-11-22, Chiefs, 153, 31, 232, 25, 20, 5, 35, 0, 0, 22, 12, 5, 1, 1, 2008, 33, Chargers, 52, 25, 149, 30, 19, 6, 39, 1, 1, 14, 13, 4, 1, 0, 1592, 3
2015-11-22, Jets, 70, 21, 197, 39, 19, 7, 54, 0, 2, 16, 14, 3, 2, 1, 1595, 17, Texans, 123, 37, 241, 35, 17, 3, 54, 1, 0, 19, 18, 7, 0, 0, 2005, 24
2015-11-22, Raiders, 50, 21, 164, 25, 13, 6, 31, 0, 0, 13, 11, 4, 0, 0, 1438, 13, Lions, 109, 31, 266, 35, 22, 7, 55, 0, 0, 22, 14, 6, 0, 0, 2162, 18
2015-11-22, 49ers, 59, 16, 247, 34, 22, 5, 42, 0, 0, 14, 11, 2, 0, 0, 1341, 13, Seahawks, 255, 44, 253, 29, 24, 8, 51, 0, 0, 28, 14, 8, 0, 0, 2259, 29
2015-11-22, Rams, 82, 29, 131, 26, 12, 6, 35, 4, 0, 13, 13, 3, 0, 0, 1628, 13, Ravens, 96, 28, 292, 44, 27, 10, 137, 0, 2, 16, 16, 4, 1, 0, 1972, 16
2015-11-22, Buccaneers, 283, 42, 238, 29, 19, 9, 82, 1, 0, 25, 16, 10, 1, 1, 2154, 45, Eagles, 136, 28, 247, 41, 26, 5, 25, 1, 3, 21, 15, 7, 0, 0, 1446, 17
2015-11-22, Redskins, 14, 12, 172, 30, 22, 9, 68, 4, 1, 9, 9, 2, 1, 1, 1313, 16, Panthers, 142, 39, 226, 34, 21, 8, 66, 0, 0, 27, 14, 7, 1, 0, 2287, 44
2015-11-23, Bengals, 99, 28, 278, 39, 22, 10, 108, 1, 0, 24, 13, 5, 1, 1, 1875, 31, Cardinals, 82, 25, 301, 31, 20, 7, 40, 0, 2, 21, 11, 5, 0, 0, 1725, 34
2015-11-24, Bills, 94, 30, 225, 36, 20, 5, 44, 1, 0, 16, 15, 3, 1, 1, 1975, 13, Patriots, 85, 22, 271, 39, 20, 5, 61, 0, 1, 18, 14, 4, 0, 0, 1625, 20
