Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-11-12, Bills, Jets, +2.0, -2.0, +41.5
2015-11-15, Lions, Packers, +10.5, -10.5, +48.5
2015-11-15, Panthers, Titans, -4.0, +4.0, +44.0
2015-11-15, Saints, Redskins, -1.0, +1.0, +50.0
2015-11-15, Jaguars, Ravens, +4.5, -4.5, +47.5
2015-11-15, Chiefs, Broncos, +3.5, -3.5, +42.0
2015-11-15, Patriots, Giants, -7.0, +7.0, +53.5
2015-11-15, Cardinals, Seahawks, +3.0, -3.0, +43.5
2015-11-15, Cowboys, Buccaneers, -1.5, +1.5, +43.5
2015-11-15, Dolphins, Eagles, +6.5, -6.5, +49.5
2015-11-15, Browns, Steelers, +6.0, -6.0, +41.5
2015-11-15, Bears, Rams, +6.5, -6.5, +42.5
2015-11-15, Vikings, Raiders, +2.5, -2.5, +43.5
2015-11-16, Texans, Bengals, +10.5, -10.5, +46.0
