Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-12-18, Buccaneers, 146, 27, 363, 50, 29, 9, 56, 1, 1, 30, 10, 3, 1, 0, 1880, 23, Rams, 98, 33, 221, 17, 14, 5, 35, 0, 0, 16, 10, 2, 0, 0, 1720, 31
2015-12-20, Falcons, 83, 33, 245, 35, 22, 5, 43, 0, 1, 22, 14, 7, 0, 0, 2073, 23, Jaguars, 72, 20, 285, 38, 23, 5, 62, 0, 1, 21, 8, 0, 1, 0, 1527, 17
2015-12-20, Bills, 240, 31, 212, 27, 16, 8, 56, 0, 0, 21, 13, 5, 3, 1, 1856, 25, Redskins, 123, 27, 308, 28, 22, 5, 6, 1, 0, 23, 11, 7, 0, 0, 1744, 35
2015-12-20, Panthers, 171, 29, 309, 45, 25, 7, 88, 1, 0, 28, 17, 9, 0, 0, 1852, 38, Giants, 161, 27, 245, 46, 29, 7, 47, 1, 1, 21, 15, 6, 2, 2, 1748, 35
2015-12-20, Bears, 94, 20, 199, 37, 26, 6, 39, 1, 1, 21, 12, 5, 1, 1, 1670, 17, Vikings, 129, 36, 221, 20, 17, 4, 45, 0, 0, 20, 12, 8, 0, 0, 1930, 38
2015-12-20, Browns, 94, 17, 136, 32, 19, 4, 40, 0, 1, 15, 12, 6, 0, 0, 1527, 13, Seahawks, 182, 36, 241, 30, 21, 5, 30, 0, 0, 28, 12, 9, 0, 0, 2073, 30
2015-12-20, Broncos, 104, 25, 281, 44, 21, 12, 127, 1, 1, 20, 17, 9, 2, 0, 1724, 27, Steelers, 23, 17, 354, 55, 40, 9, 63, 0, 2, 28, 15, 7, 0, 0, 1876, 34
2015-12-20, Packers, 103, 28, 190, 39, 22, 6, 75, 1, 1, 18, 13, 4, 0, 0, 1769, 30, Raiders, 120, 25, 252, 47, 23, 10, 95, 0, 2, 20, 17, 5, 4, 1, 1831, 20
2015-12-20, Chiefs, 113, 28, 164, 25, 21, 6, 55, 0, 0, 15, 13, 5, 0, 0, 1939, 34, Ravens, 93, 20, 273, 45, 26, 7, 63, 1, 2, 19, 13, 4, 3, 1, 1661, 14
2015-12-20, Dolphins, 44, 19, 187, 34, 20, 9, 72, 1, 0, 13, 14, 2, 3, 3, 1267, 14, Chargers, 140, 36, 302, 36, 26, 7, 48, 0, 2, 26, 14, 9, 0, 0, 2333, 30
2015-12-20, Jets, 73, 26, 299, 39, 26, 8, 61, 0, 1, 20, 14, 5, 1, 0, 1937, 19, Cowboys, 133, 21, 176, 33, 18, 6, 54, 0, 4, 15, 11, 2, 1, 1, 1663, 16
2015-12-20, Titans, 59, 21, 223, 34, 23, 3, 29, 1, 2, 15, 12, 3, 1, 0, 1823, 16, Patriots, 93, 26, 253, 35, 23, 5, 35, 1, 0, 17, 16, 7, 0, 0, 1777, 33
2015-12-20, Bengals, 68, 36, 174, 21, 15, 6, 45, 1, 0, 14, 14, 4, 1, 0, 1859, 24, 49ers, 55, 17, 263, 50, 30, 11, 98, 1, 3, 17, 14, 2, 2, 2, 1741, 14
2015-12-20, Texans, 155, 37, 150, 28, 17, 6, 48, 1, 1, 20, 15, 5, 2, 2, 2036, 16, Colts, 50, 19, 140, 32, 18, 8, 94, 1, 1, 14, 13, 4, 0, 0, 1564, 10
2015-12-21, Cardinals, 230, 39, 263, 33, 20, 1, 10, 0, 0, 28, 14, 8, 0, 0, 2248, 40, Eagles, 74, 20, 350, 41, 28, 5, 38, 2, 2, 19, 12, 6, 2, 0, 1352, 17
2015-12-22, Lions, 150, 23, 246, 25, 22, 10, 92, 1, 0, 24, 8, 4, 0, 0, 1776, 35, Saints, 69, 18, 330, 52, 34, 6, 28, 0, 0, 27, 14, 5, 2, 2, 1824, 27
