Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-25, Redskins, 88, 20, 305, 49, 30, 7, 58, 1, 2, 22, 15, 6, 3, 2, 1710, 21, Giants, 84, 31, 279, 32, 23, 8, 67, 0, 0, 19, 12, 4, 1, 1, 1890, 32
2015-09-27, Buccaneers, 57, 20, 261, 36, 17, 10, 84, 0, 1, 14, 12, 1, 0, 0, 1424, 9, Texans, 186, 46, 227, 39, 24, 6, 58, 0, 1, 30, 18, 8, 0, 0, 2176, 19
2015-09-27, Raiders, 155, 30, 314, 32, 20, 12, 85, 1, 0, 19, 14, 6, 0, 0, 1949, 27, Browns, 39, 14, 316, 49, 28, 6, 50, 1, 1, 21, 16, 8, 1, 1, 1651, 20
2015-09-27, Bills, 151, 34, 277, 29, 21, 5, 40, 0, 0, 21, 13, 7, 0, 0, 1913, 41, Dolphins, 102, 20, 289, 49, 26, 6, 36, 0, 3, 21, 13, 4, 4, 1, 1687, 14
2015-09-27, Falcons, 158, 32, 280, 36, 24, 6, 70, 0, 0, 26, 14, 9, 0, 0, 2053, 39, Cowboys, 127, 21, 220, 26, 22, 5, 31, 0, 1, 23, 6, 1, 1, 0, 1547, 28
2015-09-27, Steelers, 62, 22, 197, 30, 25, 4, 63, 0, 1, 17, 12, 6, 0, 0, 1939, 12, Rams, 71, 18, 187, 29, 19, 7, 47, 0, 1, 12, 10, 2, 2, 0, 1661, 6
2015-09-27, Chargers, 90, 28, 279, 40, 26, 7, 74, 1, 1, 21, 17, 8, 1, 0, 2009, 14, Vikings, 163, 31, 121, 24, 13, 3, 39, 0, 1, 18, 9, 3, 0, 0, 1591, 31
2015-09-27, Jaguars, 57, 20, 236, 33, 17, 7, 114, 0, 1, 15, 12, 6, 1, 0, 1520, 17, Patriots, 125, 32, 346, 42, 33, 4, 30, 0, 0, 35, 14, 11, 0, 0, 2080, 51
2015-09-27, 49ers, 103, 29, 53, 19, 9, 6, 45, 0, 4, 10, 12, 4, 0, 0, 1408, 7, Cardinals, 139, 37, 307, 32, 20, 4, 24, 0, 1, 28, 13, 6, 1, 1, 2192, 47
2015-09-27, Bengals, 86, 31, 372, 32, 20, 9, 67, 1, 1, 23, 15, 8, 2, 1, 1808, 28, Ravens, 36, 18, 362, 49, 32, 13, 116, 0, 1, 19, 16, 7, 3, 2, 1792, 24
2015-09-27, Bears, 98, 27, 48, 17, 9, 6, 40, 0, 0, 7, 13, 3, 0, 0, 1644, 0, Seahawks, 159, 29, 212, 30, 20, 5, 41, 0, 0, 17, 16, 5, 2, 2, 1956, 26
2015-09-27, Eagles, 123, 39, 108, 28, 14, 5, 21, 1, 0, 18, 15, 4, 0, 0, 1691, 24, Jets, 47, 16, 276, 58, 35, 6, 53, 1, 3, 19, 17, 7, 0, 0, 1909, 17
2015-09-27, Colts, 133, 23, 245, 30, 18, 11, 71, 0, 2, 20, 11, 4, 1, 1, 1501, 35, Titans, 88, 27, 345, 44, 27, 6, 55, 0, 2, 28, 13, 4, 1, 1, 2099, 33
2015-09-27, Saints, 70, 24, 310, 38, 31, 8, 55, 1, 1, 27, 12, 7, 1, 1, 1964, 22, Panthers, 119, 30, 312, 31, 20, 10, 88, 0, 0, 24, 11, 5, 1, 1, 1636, 27
2015-09-28, Broncos, 41, 19, 313, 42, 31, 9, 94, 1, 1, 19, 12, 4, 1, 1, 1732, 24, Lions, 28, 19, 262, 45, 31, 9, 75, 1, 2, 22, 12, 4, 1, 0, 1868, 12
2015-09-29, Chiefs, 75, 18, 251, 40, 24, 7, 38, 0, 1, 23, 10, 2, 2, 2, 1590, 28, Packers, 123, 32, 325, 35, 24, 12, 89, 0, 0, 26, 11, 4, 1, 0, 2010, 38
