Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-10-29, Dolphins, Patriots, +9.0, -9.0, +51.5
2015-11-01, Lions, Chiefs, +3.5, -3.5, +45.0
2015-11-01, Vikings, Bears, -1.0, +1.0, +42.5
2015-11-01, Buccaneers, Falcons, +7.0, -7.0, +48.5
2015-11-01, Giants, Saints, +3.5, -3.5, +49.5
2015-11-01, 49ers, Rams, +9.0, -9.0, +39.5
2015-11-01, Jets, Raiders, -3.0, +3.0, +44.0
2015-11-01, Seahawks, Cowboys, -5.5, +5.5, +42.0
2015-11-01, Packers, Broncos, -2.5, +2.5, +46.5
2015-11-01, Cardinals, Browns, -6.0, +6.0, +46.0
2015-11-01, Chargers, Ravens, +3.5, -3.5, +50.0
2015-11-01, Bengals, Steelers, +1.0, -1.0, +48.5
2015-11-01, Titans, Texans, +4.0, -4.0, +43.0
2015-11-02, Colts, Panthers, +5.5, -5.5, +46.0
