Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-09, Colts, 110, 30, 213, 29, 18, 7, 65, 0, 0, 22, 11, 3, 1, 1, 1653, 27, Texans, 82, 28, 362, 41, 31, 13, 125, 0, 2, 24, 16, 8, 1, 1, 1947, 20
2015-10-11, Cardinals, 187, 25, 158, 18, 12, 9, 70, 0, 0, 15, 8, 1, 0, 0, 1408, 42, Lions, 57, 18, 379, 70, 41, 9, 85, 2, 4, 29, 17, 8, 1, 0, 2192, 17
2015-10-11, Bills, 127, 28, 82, 18, 11, 7, 62, 1, 0, 13, 12, 4, 0, 0, 1469, 14, Titans, 97, 28, 179, 32, 21, 9, 74, 0, 1, 17, 13, 5, 0, 0, 2131, 13
2015-10-11, Bears, 87, 26, 241, 45, 26, 6, 49, 1, 0, 21, 14, 6, 1, 0, 2017, 18, Chiefs, 117, 25, 170, 30, 16, 3, 49, 0, 0, 16, 14, 5, 0, 0, 1583, 17
2015-10-11, Browns, 83, 25, 422, 51, 36, 9, 74, 0, 0, 25, 19, 12, 0, 0, 2356, 33, Ravens, 181, 31, 196, 35, 19, 12, 98, 0, 0, 22, 14, 5, 0, 0, 1741, 30
2015-10-11, Broncos, 43, 18, 254, 35, 22, 6, 103, 0, 2, 15, 13, 2, 0, 0, 1551, 16, Raiders, 65, 25, 223, 39, 26, 6, 41, 2, 1, 20, 16, 7, 2, 1, 2049, 10
2015-10-11, Jaguars, 55, 17, 270, 33, 23, 3, 12, 1, 1, 21, 8, 2, 1, 1, 1519, 31, Buccaneers, 183, 40, 186, 19, 13, 10, 72, 0, 0, 20, 11, 5, 0, 0, 2081, 38
2015-10-11, Patriots, 109, 23, 247, 27, 20, 9, 65, 0, 0, 20, 10, 3, 1, 0, 1608, 30, Cowboys, 100, 24, 164, 39, 26, 7, 50, 1, 1, 18, 14, 4, 2, 1, 1992, 6
2015-10-11, Saints, 96, 21, 292, 43, 26, 7, 78, 3, 1, 19, 16, 8, 1, 1, 1558, 17, Eagles, 186, 34, 333, 45, 32, 4, 35, 0, 2, 34, 11, 4, 2, 0, 2042, 39
2015-10-11, Seahawks, 200, 30, 197, 23, 15, 10, 112, 0, 1, 16, 13, 5, 0, 0, 1835, 24, Bengals, 109, 31, 310, 44, 30, 7, 50, 1, 1, 27, 15, 6, 0, 0, 2449, 27
2015-10-11, Rams, 191, 36, 143, 31, 12, 8, 40, 0, 4, 17, 18, 5, 1, 1, 2023, 10, Packers, 86, 27, 236, 30, 19, 7, 67, 1, 2, 14, 13, 4, 1, 0, 1577, 24
2015-10-11, Redskins, 51, 24, 219, 32, 21, 5, 51, 0, 2, 18, 12, 4, 1, 1, 1669, 19, Falcons, 176, 32, 242, 42, 24, 4, 62, 1, 2, 29, 15, 6, 3, 3, 2096, 25
2015-10-12, 49ers, 124, 27, 256, 35, 23, 4, 28, 0, 0, 22, 14, 8, 0, 0, 1682, 27, Giants, 84, 21, 441, 54, 41, 6, 65, 0, 1, 30, 14, 9, 0, 0, 1918, 30
2015-10-13, Steelers, 155, 27, 194, 26, 13, 8, 86, 0, 1, 14, 14, 5, 0, 0, 1577, 24, Chargers, 52, 19, 354, 48, 35, 7, 54, 1, 1, 24, 14, 4, 0, 0, 2023, 20
