Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-12-11, Vikings, 72, 24, 317, 36, 25, 3, 25, 3, 0, 23, 11, 6, 0, 0, 1681, 20, Cardinals, 97, 29, 296, 35, 25, 4, 30, 0, 0, 22, 13, 6, 1, 1, 1919, 23
2015-12-13, Falcons, 54, 16, 176, 41, 25, 6, 54, 2, 2, 15, 14, 4, 4, 1, 1710, 0, Panthers, 142, 32, 282, 27, 19, 6, 60, 0, 0, 20, 12, 6, 1, 0, 1890, 38
2015-12-13, Bills, 152, 32, 260, 36, 19, 15, 101, 1, 1, 18, 16, 6, 0, 0, 2102, 20, Eagles, 116, 34, 232, 38, 23, 5, 55, 0, 1, 20, 18, 9, 0, 0, 1498, 23
2015-12-13, Cowboys, 171, 20, 99, 29, 13, 6, 30, 0, 1, 11, 11, 1, 2, 0, 1332, 7, Packers, 230, 44, 205, 35, 22, 8, 69, 0, 0, 29, 14, 7, 1, 0, 2268, 28
2015-12-13, Lions, 111, 20, 220, 46, 30, 5, 45, 0, 1, 22, 13, 5, 1, 0, 2030, 14, Rams, 203, 29, 114, 22, 14, 5, 48, 0, 1, 15, 11, 4, 0, 0, 1570, 21
2015-12-13, Colts, 95, 23, 227, 43, 20, 8, 85, 1, 1, 17, 16, 4, 2, 1, 1848, 16, Jaguars, 154, 29, 226, 30, 16, 5, 40, 2, 0, 24, 9, 2, 1, 1, 1752, 51
2015-12-13, Saints, 87, 35, 301, 41, 31, 12, 95, 0, 0, 26, 17, 12, 0, 0, 2234, 24, Buccaneers, 115, 19, 176, 32, 18, 8, 80, 0, 0, 18, 11, 4, 1, 1, 1366, 17
2015-12-13, Raiders, 27, 23, 99, 29, 12, 10, 70, 0, 0, 8, 15, 3, 0, 0, 1442, 15, Broncos, 34, 21, 276, 51, 35, 4, 27, 2, 0, 20, 18, 4, 3, 1, 2158, 12
2015-12-13, Steelers, 84, 28, 270, 39, 30, 5, 82, 0, 1, 22, 14, 8, 0, 0, 2147, 33, Bengals, 64, 16, 321, 37, 25, 4, 27, 0, 3, 22, 8, 3, 0, 0, 1453, 20
2015-12-13, Chargers, 44, 18, 236, 43, 24, 7, 48, 0, 1, 15, 18, 6, 3, 3, 1868, 3, Chiefs, 150, 25, 179, 23, 15, 8, 53, 1, 1, 18, 11, 6, 0, 0, 1732, 10
2015-12-13, Seahawks, 123, 36, 301, 33, 24, 6, 42, 1, 0, 28, 12, 8, 0, 0, 2143, 35, Ravens, 28, 14, 274, 40, 23, 9, 94, 1, 1, 16, 11, 3, 1, 0, 1457, 6
2015-12-13, 49ers, 71, 17, 150, 28, 18, 5, 40, 0, 0, 15, 13, 2, 3, 1, 1341, 10, Browns, 230, 41, 251, 31, 21, 8, 71, 1, 1, 28, 12, 6, 0, 0, 2259, 24
2015-12-13, Titans, 24, 13, 268, 40, 22, 3, 20, 0, 1, 15, 14, 3, 3, 1, 1444, 8, Jets, 183, 34, 256, 36, 21, 3, 20, 0, 0, 24, 15, 7, 1, 1, 2156, 30
2015-12-13, Redskins, 99, 33, 275, 31, 24, 8, 63, 0, 1, 24, 12, 7, 0, 0, 2062, 24, Bears, 87, 22, 290, 31, 19, 7, 79, 1, 0, 20, 11, 5, 0, 0, 1538, 21
2015-12-14, Patriots, 116, 31, 197, 30, 22, 6, 46, 1, 0, 18, 16, 7, 0, 0, 2114, 27, Texans, 87, 22, 102, 24, 12, 4, 36, 1, 0, 7, 14, 3, 2, 0, 1486, 6
