Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-23, Seahawks, 176, 41, 212, 24, 18, 6, 50, 0, 2, 21, 13, 5, 1, 1, 2285, 20, 49ers, 61, 15, 81, 24, 13, 4, 33, 0, 0, 8, 11, 1, 0, 0, 1315, 3
2015-10-25, Browns, 82, 24, 282, 37, 30, 11, 98, 4, 0, 19, 12, 3, 1, 0, 2133, 6, Rams, 158, 26, 150, 23, 15, 9, 75, 1, 0, 16, 9, 1, 0, 0, 1467, 24
2015-10-25, Cowboys, 233, 41, 227, 27, 17, 7, 46, 1, 3, 27, 11, 6, 1, 0, 2284, 20, Giants, 132, 25, 157, 24, 13, 3, 13, 0, 0, 13, 11, 3, 0, 0, 1316, 27
2015-10-25, Texans, 71, 25, 251, 49, 23, 3, 25, 0, 1, 24, 15, 6, 1, 0, 1675, 26, Dolphins, 248, 35, 255, 20, 19, 8, 52, 1, 0, 21, 9, 1, 0, 0, 1925, 44
2015-10-25, Saints, 183, 36, 266, 45, 29, 12, 100, 0, 1, 22, 20, 7, 1, 1, 2303, 27, Colts, 75, 13, 301, 44, 23, 7, 42, 1, 2, 15, 13, 3, 0, 0, 1297, 21
2015-10-25, Falcons, 127, 31, 251, 38, 22, 6, 53, 0, 2, 21, 14, 5, 2, 0, 2085, 10, Titans, 77, 16, 179, 35, 22, 5, 45, 0, 2, 15, 9, 1, 1, 0, 1515, 7
2015-10-25, Bills, 115, 28, 260, 42, 24, 10, 87, 2, 2, 26, 12, 3, 1, 0, 1882, 31, Jaguars, 120, 32, 175, 29, 13, 10, 66, 0, 1, 17, 14, 5, 1, 0, 1718, 34
2015-10-25, Buccaneers, 190, 30, 289, 29, 21, 16, 142, 1, 0, 21, 12, 7, 0, 0, 1878, 30, Redskins, 50, 19, 305, 40, 33, 4, 20, 1, 0, 27, 11, 5, 0, 0, 1722, 31
2015-10-25, Vikings, 140, 35, 285, 35, 25, 3, 31, 1, 0, 25, 13, 5, 1, 0, 2187, 28, Lions, 77, 17, 197, 26, 18, 5, 30, 0, 0, 14, 10, 1, 2, 0, 1413, 19
2015-10-25, Steelers, 147, 24, 192, 29, 16, 1, 5, 1, 2, 18, 10, 2, 2, 1, 1654, 13, Chiefs, 138, 29, 239, 32, 21, 6, 66, 0, 0, 18, 16, 9, 0, 0, 1946, 23
2015-10-25, Raiders, 130, 26, 282, 31, 24, 14, 136, 0, 0, 19, 12, 5, 0, 0, 1849, 37, Chargers, 90, 21, 327, 58, 38, 9, 86, 0, 2, 28, 16, 8, 0, 0, 1751, 29
2015-10-25, Jets, 89, 29, 283, 39, 22, 4, 29, 1, 0, 25, 14, 8, 0, 0, 1983, 23, Patriots, 16, 9, 337, 54, 34, 4, 38, 0, 0, 20, 16, 8, 1, 1, 1617, 30
2015-10-25, Eagles, 177, 30, 172, 46, 26, 7, 46, 0, 1, 20, 18, 7, 2, 1, 1866, 16, Panthers, 204, 33, 190, 24, 14, 5, 43, 0, 3, 21, 9, 2, 0, 0, 1734, 27
2015-10-26, Ravens, 55, 16, 221, 40, 26, 5, 50, 1, 1, 18, 13, 5, 1, 1, 3024, 18, Cardinals, 150, 28, 264, 29, 20, 5, 50, 0, 0, 21, 12, 5, 0, 0, 2936, 26
