Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-10, Steelers, 134, 25, 330, 38, 26, 8, 77, 0, 1, 23, 15, 7, 2, 2, 1925, 21, Patriots, 80, 24, 281, 32, 25, 7, 64, 0, 0, 26, 11, 7, 0, 0, 1675, 28
2015-09-12, Ravens, 73, 23, 100, 32, 18, 3, 15, 0, 2, 11, 13, 2, 1, 1, 1363, 13, Broncos, 69, 25, 150, 40, 24, 8, 45, 0, 1, 16, 18, 8, 0, 0, 2237, 19
2015-09-12, Panthers, 105, 35, 158, 31, 18, 3, 22, 0, 1, 17, 17, 8, 1, 1, 2046, 20, Jaguars, 96, 21, 169, 40, 22, 3, 25, 1, 2, 18, 12, 3, 2, 1, 1554, 9
2015-09-12, Browns, 104, 28, 217, 32, 18, 12, 109, 4, 1, 15, 16, 8, 2, 1, 1900, 10, Jets, 154, 36, 179, 24, 15, 4, 30, 0, 1, 18, 13, 7, 1, 0, 1700, 31
2015-09-12, Lions, 69, 16, 233, 30, 19, 4, 29, 0, 2, 16, 10, 3, 0, 0, 1308, 28, Chargers, 95, 30, 388, 42, 35, 5, 40, 1, 2, 28, 11, 6, 0, 0, 2292, 33
2015-09-12, Packers, 133, 30, 189, 23, 18, 10, 74, 0, 0, 21, 10, 6, 1, 1, 1688, 31, Bears, 189, 33, 213, 36, 18, 6, 64, 0, 1, 25, 17, 11, 3, 2, 1912, 23
2015-09-12, Colts, 64, 17, 240, 49, 26, 5, 49, 1, 2, 23, 15, 8, 2, 1, 1744, 14, Bills, 147, 36, 195, 19, 14, 11, 113, 0, 0, 15, 13, 5, 0, 0, 1856, 27
2015-09-12, Chiefs, 97, 32, 233, 33, 22, 2, 25, 0, 0, 19, 13, 3, 0, 0, 2119, 27, Texans, 98, 21, 298, 47, 26, 6, 39, 1, 1, 24, 14, 3, 1, 0, 1481, 20
2015-09-12, Dolphins, 74, 18, 182, 34, 22, 6, 39, 1, 0, 19, 12, 5, 1, 0, 1326, 17, Redskins, 161, 37, 188, 31, 21, 11, 88, 0, 2, 20, 14, 6, 1, 0, 2274, 10
2015-09-12, Saints, 54, 20, 354, 48, 30, 7, 73, 0, 1, 18, 18, 7, 1, 0, 2004, 19, Cardinals, 120, 25, 307, 32, 19, 5, 30, 1, 0, 25, 10, 5, 0, 0, 1596, 31
2015-09-12, Seahawks, 124, 32, 219, 41, 32, 7, 46, 0, 1, 21, 19, 8, 2, 1, 2248, 31, Rams, 76, 26, 276, 27, 18, 4, 30, 3, 0, 19, 11, 6, 0, 0, 1712, 34
2015-09-12, Titans, 124, 32, 185, 16, 13, 8, 55, 1, 0, 20, 9, 4, 0, 0, 1890, 42, Buccaneers, 92, 26, 181, 33, 16, 12, 97, 0, 2, 16, 14, 3, 4, 2, 1710, 14
2015-09-12, Bengals, 127, 31, 269, 34, 25, 6, 50, 0, 0, 22, 13, 4, 1, 1, 1952, 33, Raiders, 63, 16, 183, 43, 30, 5, 32, 1, 1, 16, 12, 3, 3, 2, 1648, 13
2015-09-13, Giants, 99, 24, 190, 36, 20, 5, 44, 0, 0, 18, 14, 6, 0, 0, 1370, 26, Cowboys, 80, 23, 356, 45, 36, 3, 35, 1, 2, 27, 11, 6, 0, 0, 2230, 27
2015-09-13, Eagles, 63, 16, 336, 52, 36, 10, 88, 0, 2, 23, 12, 3, 1, 1, 1473, 24, Falcons, 105, 35, 290, 34, 23, 7, 57, 0, 2, 21, 14, 4, 0, 0, 2127, 26
2015-09-14, Vikings, 71, 17, 177, 32, 23, 5, 25, 0, 1, 17, 9, 1, 2, 0, 1618, 3, 49ers, 230, 39, 165, 26, 17, 8, 57, 1, 0, 25, 12, 5, 0, 0, 1982, 20
