Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-06, Browns, 69, 17, 144, 33, 15, 4, 28, 0, 0, 13, 13, 4, 2, 1, 1437, 10, Bengals, 152, 37, 219, 27, 21, 2, 20, 0, 0, 23, 14, 8, 1, 1, 2163, 31
2015-11-08, Falcons, 17, 14, 285, 45, 30, 6, 63, 0, 0, 17, 15, 5, 0, 0, 1928, 16, 49ers, 133, 38, 185, 26, 15, 5, 30, 0, 2, 18, 14, 6, 2, 2, 1672, 17
2015-11-08, Broncos, 35, 14, 274, 36, 21, 8, 56, 0, 2, 16, 12, 6, 0, 0, 1281, 24, Colts, 120, 40, 245, 36, 21, 4, 30, 0, 0, 27, 20, 12, 0, 0, 2319, 27
2015-11-08, Packers, 71, 19, 331, 48, 25, 7, 87, 1, 1, 21, 14, 3, 3, 2, 1668, 29, Panthers, 130, 36, 297, 30, 15, 6, 45, 0, 1, 20, 15, 5, 0, 0, 1932, 37
2015-11-08, Giants, 114, 33, 213, 40, 26, 6, 49, 0, 2, 24, 16, 9, 1, 0, 2095, 32, Buccaneers, 136, 23, 249, 36, 19, 9, 79, 3, 0, 19, 13, 6, 0, 0, 1505, 18
2015-11-08, Jaguars, 98, 19, 338, 40, 24, 4, 30, 2, 2, 19, 16, 7, 0, 0, 1756, 23, Jets, 29, 28, 261, 34, 21, 6, 41, 0, 0, 14, 15, 5, 1, 1, 1844, 28
2015-11-08, Dolphins, 106, 23, 291, 37, 28, 8, 62, 1, 0, 29, 9, 4, 0, 0, 1727, 17, Bills, 266, 36, 154, 12, 11, 13, 94, 0, 0, 18, 13, 8, 0, 0, 1873, 33
2015-11-08, Raiders, 139, 25, 301, 44, 24, 3, 21, 3, 1, 24, 14, 6, 0, 0, 1676, 35, Steelers, 195, 30, 402, 50, 28, 5, 42, 1, 1, 27, 17, 6, 2, 1, 1924, 38
2015-11-08, Rams, 160, 36, 160, 33, 18, 12, 87, 0, 0, 18, 16, 2, 1, 1, 1947, 18, Vikings, 145, 35, 148, 27, 15, 6, 67, 0, 1, 21, 13, 3, 0, 0, 1993, 21
2015-11-08, Titans, 112, 28, 371, 39, 28, 9, 66, 1, 0, 25, 13, 5, 0, 0, 1941, 34, Saints, 61, 27, 355, 39, 28, 8, 75, 1, 1, 30, 11, 6, 0, 0, 1969, 28
2015-11-08, Redskins, 37, 15, 213, 40, 22, 4, 27, 1, 1, 16, 14, 7, 1, 0, 1375, 10, Patriots, 161, 37, 299, 39, 26, 6, 43, 1, 1, 27, 16, 9, 1, 1, 2225, 27
2015-11-09, Eagles, 172, 35, 287, 36, 25, 10, 70, 0, 0, 25, 13, 3, 2, 2, 1542, 33, Cowboys, 134, 29, 277, 38, 25, 8, 58, 0, 1, 25, 16, 8, 2, 2, 2299, 27
2015-11-10, Bears, 109, 29, 337, 40, 27, 6, 55, 1, 1, 25, 15, 9, 0, 0, 2015, 22, Chargers, 77, 19, 262, 42, 26, 8, 54, 1, 0, 19, 13, 7, 1, 0, 1585, 19
