Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-16, Falcons, 150, 21, 263, 44, 30, 7, 41, 3, 0, 23, 12, 3, 4, 3, 1650, 21, Saints, 81, 32, 304, 39, 30, 3, 15, 0, 0, 25, 16, 8, 1, 1, 1950, 31
2015-10-18, Cardinals, 55, 20, 414, 45, 29, 9, 111, 1, 2, 21, 12, 5, 1, 0, 1869, 13, Steelers, 141, 32, 169, 20, 11, 6, 48, 0, 0, 14, 12, 3, 0, 0, 1731, 25
2015-10-18, Ravens, 77, 22, 343, 53, 33, 3, 15, 0, 2, 25, 13, 4, 1, 1, 1987, 20, 49ers, 65, 25, 326, 27, 16, 4, 25, 0, 0, 15, 13, 5, 0, 0, 1613, 25
2015-10-18, Panthers, 135, 33, 248, 36, 20, 5, 25, 0, 2, 25, 11, 4, 1, 0, 1932, 27, Seahawks, 115, 26, 219, 30, 18, 7, 48, 0, 0, 14, 14, 4, 0, 0, 1668, 23
2015-10-18, Bears, 91, 31, 353, 41, 26, 9, 76, 0, 1, 24, 14, 6, 0, 0, 2014, 34, Lions, 155, 32, 391, 42, 27, 10, 98, 2, 1, 26, 17, 9, 1, 1, 2337, 37
2015-10-18, Broncos, 152, 33, 290, 48, 26, 8, 81, 0, 3, 21, 18, 4, 1, 1, 2204, 26, Browns, 109, 33, 189, 39, 20, 6, 30, 1, 2, 20, 15, 6, 1, 0, 2000, 23
2015-10-18, Chiefs, 57, 18, 271, 37, 22, 8, 95, 1, 0, 16, 12, 3, 2, 0, 1613, 10, Vikings, 84, 35, 237, 31, 17, 5, 50, 0, 2, 16, 17, 6, 1, 1, 1987, 16
2015-10-18, Dolphins, 180, 32, 254, 29, 22, 9, 97, 0, 2, 26, 9, 5, 0, 0, 1913, 38, Titans, 63, 18, 236, 41, 26, 7, 50, 2, 2, 22, 10, 2, 2, 1, 1687, 10
2015-10-18, Chargers, 60, 21, 488, 65, 43, 9, 76, 1, 0, 32, 18, 9, 3, 1, 2280, 20, Packers, 133, 17, 237, 29, 16, 6, 50, 0, 0, 17, 9, 3, 0, 0, 1320, 27
2015-10-18, Redskins, 34, 17, 191, 44, 25, 3, 15, 0, 2, 14, 15, 5, 2, 1, 1641, 20, Jets, 221, 41, 253, 26, 19, 1, 5, 2, 1, 22, 14, 7, 0, 0, 1959, 34
2015-10-18, Bengals, 112, 28, 243, 33, 22, 3, 20, 0, 0, 21, 12, 7, 0, 0, 1800, 34, Bills, 112, 23, 256, 42, 28, 8, 93, 0, 1, 22, 13, 5, 2, 1, 1800, 21
2015-10-18, Texans, 95, 31, 287, 36, 24, 10, 69, 0, 0, 24, 14, 7, 2, 1, 1802, 31, Jaguars, 83, 21, 311, 53, 30, 7, 64, 0, 3, 26, 15, 5, 2, 2, 1798, 20
2015-10-19, Patriots, 116, 25, 301, 37, 23, 8, 72, 0, 1, 22, 12, 5, 1, 1, 1648, 34, Colts, 120, 22, 289, 50, 30, 11, 103, 0, 0, 24, 16, 7, 3, 1, 1952, 27
2015-10-20, Giants, 81, 23, 166, 38, 24, 12, 92, 1, 2, 18, 13, 4, 1, 0, 1770, 7, Eagles, 155, 37, 270, 38, 24, 9, 72, 1, 3, 24, 16, 6, 0, 0, 1830, 27
