Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-26, Panthers, 129, 37, 165, 27, 16, 8, 53, 0, 0, 18, 16, 8, 0, 0, 2114, 33, Cowboys, 31, 14, 179, 40, 24, 5, 40, 0, 3, 14, 13, 6, 1, 0, 1486, 14
2015-11-26, Eagles, 68, 25, 159, 27, 19, 2, 30, 1, 0, 14, 14, 6, 0, 0, 1369, 14, Lions, 108, 30, 322, 38, 27, 4, 29, 0, 0, 28, 10, 5, 0, 0, 2231, 45
2015-11-27, Bears, 101, 31, 189, 31, 19, 12, 95, 0, 0, 17, 14, 5, 0, 0, 1872, 17, Packers, 177, 28, 188, 43, 22, 3, 38, 1, 1, 23, 11, 3, 2, 0, 1728, 13
2015-11-29, Cardinals, 70, 29, 267, 40, 24, 7, 47, 0, 0, 26, 14, 7, 1, 0, 2247, 19, 49ers, 67, 17, 301, 36, 25, 13, 81, 1, 1, 17, 9, 0, 2, 1, 1353, 13
2015-11-29, Bills, 129, 28, 286, 38, 21, 9, 91, 2, 0, 25, 12, 5, 1, 0, 1832, 22, Chiefs, 158, 27, 255, 30, 19, 8, 58, 0, 0, 21, 13, 6, 0, 0, 1768, 30
2015-11-29, Giants, 33, 13, 299, 51, 26, 4, 35, 0, 3, 17, 15, 3, 2, 2, 1440, 14, Redskins, 105, 37, 302, 29, 20, 7, 80, 0, 0, 18, 15, 4, 2, 1, 2160, 20
2015-11-29, Dolphins, 12, 9, 321, 58, 33, 6, 45, 1, 1, 20, 15, 4, 2, 2, 1724, 20, Jets, 137, 34, 274, 37, 22, 6, 40, 0, 0, 24, 17, 10, 1, 0, 1876, 38
2015-11-29, Vikings, 191, 39, 174, 28, 20, 9, 53, 0, 1, 24, 12, 7, 0, 0, 2008, 20, Falcons, 116, 24, 210, 31, 22, 6, 78, 1, 2, 22, 11, 5, 1, 0, 1592, 10
2015-11-29, Saints, 50, 10, 218, 44, 25, 10, 82, 0, 1, 14, 12, 3, 1, 0, 1417, 6, Texans, 167, 38, 195, 27, 21, 6, 40, 0, 1, 23, 13, 6, 0, 0, 2183, 24
2015-11-29, Raiders, 84, 30, 323, 38, 24, 11, 94, 2, 0, 22, 15, 8, 1, 0, 2095, 24, Titans, 44, 18, 205, 37, 17, 4, 25, 0, 2, 19, 12, 3, 1, 0, 1505, 21
2015-11-29, Steelers, 58, 14, 480, 59, 37, 6, 65, 0, 4, 26, 11, 5, 1, 0, 1920, 30, Seahawks, 100, 27, 336, 30, 21, 8, 76, 0, 0, 21, 13, 7, 0, 0, 1680, 39
2015-11-29, Chargers, 79, 26, 290, 43, 29, 8, 70, 0, 0, 24, 14, 6, 1, 1, 1884, 31, Jaguars, 102, 19, 318, 49, 30, 6, 35, 0, 1, 20, 15, 5, 3, 2, 1716, 25
2015-11-29, Rams, 94, 17, 251, 53, 36, 7, 45, 0, 3, 19, 15, 6, 3, 1, 1793, 7, Bengals, 140, 31, 236, 28, 21, 3, 35, 0, 1, 19, 10, 3, 1, 0, 1807, 31
2015-11-29, Buccaneers, 132, 21, 212, 36, 20, 12, 95, 0, 1, 21, 13, 6, 1, 0, 1655, 12, Colts, 27, 26, 309, 42, 26, 6, 45, 0, 0, 23, 16, 7, 0, 0, 1945, 25
2015-11-30, Patriots, 39, 16, 262, 42, 23, 5, 47, 1, 0, 16, 13, 2, 1, 0, 1557, 24, Broncos, 179, 32, 254, 42, 23, 6, 46, 0, 1, 23, 16, 4, 1, 1, 2191, 30
2015-12-01, Ravens, 104, 23, 232, 34, 20, 7, 50, 0, 2, 16, 11, 2, 2, 2, 1770, 33, Browns, 63, 18, 275, 48, 28, 2, 15, 0, 0, 21, 15, 4, 2, 2, 1830, 27
