Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-12-04, Packers, 67, 24, 246, 36, 24, 7, 55, 0, 1, 19, 12, 3, 1, 1, 1616, 27, Lions, 101, 25, 205, 35, 23, 9, 108, 1, 0, 17, 16, 6, 1, 1, 1984, 23
2015-12-06, Cardinals, 175, 36, 349, 41, 27, 3, 25, 0, 0, 29, 16, 7, 1, 0, 2387, 27, Rams, 66, 15, 146, 35, 15, 7, 104, 0, 1, 9, 12, 1, 2, 1, 1213, 3
2015-12-06, Falcons, 64, 18, 255, 45, 30, 7, 58, 0, 1, 21, 16, 8, 0, 0, 1725, 19, Buccaneers, 166, 37, 222, 27, 18, 8, 53, 1, 1, 25, 11, 6, 0, 0, 1875, 23
2015-12-06, Ravens, 94, 26, 281, 46, 32, 5, 36, 0, 2, 22, 14, 5, 1, 0, 2289, 13, Dolphins, 137, 26, 82, 19, 9, 5, 31, 1, 0, 8, 13, 4, 0, 0, 1311, 15
2015-12-06, Panthers, 175, 34, 322, 41, 28, 8, 87, 2, 1, 33, 8, 3, 2, 2, 2194, 41, Saints, 70, 14, 264, 42, 24, 11, 104, 0, 1, 21, 10, 3, 1, 0, 1406, 38
2015-12-06, Broncos, 134, 39, 159, 26, 16, 3, 18, 0, 1, 19, 13, 6, 0, 0, 1977, 17, Chargers, 93, 23, 179, 35, 18, 8, 72, 2, 1, 15, 14, 5, 2, 0, 1623, 3
2015-12-06, Jaguars, 81, 21, 302, 36, 24, 6, 21, 1, 0, 20, 14, 10, 1, 0, 1586, 39, Titans, 210, 35, 257, 29, 20, 4, 38, 1, 1, 26, 13, 8, 0, 0, 2014, 42
2015-12-06, Chiefs, 89, 22, 143, 22, 16, 11, 88, 2, 0, 15, 8, 3, 0, 0, 1532, 34, Raiders, 99, 24, 262, 48, 31, 4, 21, 0, 3, 27, 14, 6, 2, 0, 2068, 20
2015-12-06, Jets, 90, 24, 373, 50, 36, 8, 61, 1, 0, 28, 15, 6, 1, 1, 2311, 23, Giants, 74, 24, 281, 34, 18, 8, 60, 0, 1, 14, 15, 4, 2, 1, 1796, 20
2015-12-06, Eagles, 128, 33, 120, 24, 14, 8, 97, 1, 0, 15, 14, 6, 0, 0, 1544, 35, Patriots, 103, 25, 324, 57, 30, 3, 30, 0, 2, 27, 17, 7, 2, 1, 2056, 28
2015-12-06, Seahawks, 173, 36, 260, 28, 21, 9, 65, 1, 0, 25, 13, 9, 1, 1, 2110, 38, Vikings, 31, 16, 94, 28, 17, 9, 95, 0, 1, 9, 10, 2, 1, 0, 1490, 7
2015-12-06, 49ers, 121, 23, 170, 32, 18, 6, 50, 0, 0, 13, 16, 7, 0, 0, 1486, 26, Bears, 170, 42, 194, 31, 18, 8, 72, 0, 1, 20, 17, 8, 0, 0, 2244, 20
2015-12-06, Bengals, 144, 33, 233, 22, 16, 5, 55, 0, 0, 20, 12, 5, 3, 2, 1858, 37, Browns, 68, 19, 205, 38, 25, 7, 84, 1, 1, 18, 13, 6, 2, 0, 1742, 3
2015-12-06, Texans, 126, 26, 275, 43, 26, 10, 89, 0, 1, 21, 15, 7, 1, 0, 1913, 21, Bills, 187, 36, 203, 21, 11, 5, 42, 0, 0, 15, 16, 8, 0, 0, 1687, 30
2015-12-07, Colts, 54, 18, 186, 34, 20, 5, 30, 1, 2, 11, 14, 3, 3, 1, 1630, 10, Steelers, 158, 32, 364, 39, 24, 4, 48, 2, 0, 24, 13, 8, 0, 0, 1970, 45
