Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-11-19, Titans, Jaguars, +3.0, -3.0, +41.5
2015-11-22, Redskins, Panthers, +7.0, -7.0, +44.5
2015-11-22, Raiders, Lions, +1.0, -1.0, +48.5
2015-11-22, Colts, Falcons, +3.5, -3.5, +47.5
2015-11-22, Rams, Ravens, +3.0, -3.0, +41.5
2015-11-22, Packers, Vikings, +1.0, -1.0, +45.0
2015-11-22, Broncos, Bears, -2.5, +2.5, +42.0
2015-11-22, Chiefs, Chargers, -3.0, +3.0, +45.0
2015-11-22, 49ers, Seahawks, +14.0, -14.0, +39.5
2015-11-22, Cowboys, Dolphins, -2.0, +2.0, +46.0
2015-11-22, Buccaneers, Eagles, +6.5, -6.5, +45.5
2015-11-22, Bengals, Cardinals, +4.0, -4.0, +47.5
2015-11-22, Jets, Texans, -3.5, +3.5, +40.0
2015-11-23, Bills, Patriots, +7.0, -7.0, +48.0
