Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
10/15/2015, Falcons, Saints,-3.5,3.5,51.5
10/18/2015, Broncos, Browns,-3.5,3.5,42
10/18/2015, Chiefs, Vikings,3.5,-3.5,43
10/18/2015, Texans, Jaguars,1,-1,43
10/18/2015, Bears, Lions,3.5,-3.5,44
10/18/2015, Redskins, Jets,6.5,-6.5,40.5
10/18/2015, Dolphins, Titans,1,-1,43.5
10/18/2015, Panthers, Seahawks,6.5,-6.5,41
10/18/2015, Bengals, Bills,-3,3,43
10/18/2015, Ravens, 49ers,-2,2,43
10/18/2015, Cardinals, Steelers,-3.5,3.5,45
10/18/2015, Chargers, Packers,10,-10,50.5
10/18/2015, Patriots, Colts,-9.5,9.5,54
10/19/2015, Giants, Eagles,3.5,-3.5,51
