Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-09-10, Steelers, Patriots, +7.0, -7.0, +50.5
2015-09-13, Packers, Bears, -6.0, +6.0, +48.5
2015-09-13, Chiefs, Texans, -1.5, +1.5, +41.0
2015-09-13, Browns, Jets, +3.5, -3.5, +39.0
2015-09-13, Colts, Bills, +1.0, -1.0, +44.5
2015-09-13, Dolphins, Redskins, -3.5, +3.5, +45.5
2015-09-13, Panthers, Jaguars, -3.0, +3.0, +41.0
2015-09-13, Seahawks, Rams, -3.5, +3.5, +42.0
2015-09-13, Saints, Cardinals, +2.5, -2.5, +48.5
2015-09-13, Lions, Chargers, +3.5, -3.5, +45.0
2015-09-13, Titans, Buccaneers, +3.0, -3.0, +40.5
2015-09-13, Bengals, Raiders, -3.0, +3.0, +43.0
2015-09-13, Ravens, Broncos, +4.5, -4.5, +46.5
2015-09-13, Giants, Cowboys, +6.5, -6.5, +52.0
2015-09-14, Eagles, Falcons, -3.0, +3.0, +55.0
2015-09-14, Vikings, 49ers, -2.5, +2.5, +41.5
