Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-11-26, Eagles, Lions, +3.0, -3.0, +46.5
2015-11-26, Panthers, Cowboys, -1.0, +1.0, +44.5
2015-11-26, Bears, Packers, +7.5, -7.5, +45.0
2015-11-29, Saints, Texans, +3.5, -3.5, +51.0
2015-11-29, Vikings, Falcons, +1.5, -1.5, +44.5
2015-11-29, Buccaneers, Colts, +3.0, -3.0, +46.0
2015-11-29, Giants, Redskins, -1.0, +1.0, +48.0
2015-11-29, Raiders, Titans, -1.0, +1.0, +45.0
2015-11-29, Dolphins, Jets, +4.5, -4.5, +44.0
2015-11-29, Chargers, Jaguars, +5.5, -5.5, +47.0
2015-11-29, Steelers, Seahawks, +3.0, -3.0, +47.0
2015-11-29, Rams, Bengals, +10.0, -10.0, +41.5
2015-11-29, Cardinals, 49ers, -7.5, +7.5, +45.5
2015-11-29, Patriots, Broncos, -2.5, +2.5, +43.5
2015-11-29, Bills, Chiefs, +4.5, -4.5, +41.0
2015-11-30, Ravens, Browns, +3.5, -3.5, +41.5
