Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
12/13/2015, Vikings, Cardinals,10,-10,50
12/13/2015, Steelers, Bengals,2.5,-2.5,50
12/13/2015, Bills, Eagles,1,-1,46.5
12/13/2015, Falcons, Panthers,8,-8,46.5
12/13/2015, 49ers, Browns,2,-2,41
12/13/2015, Redskins, Bears,3.5,-3.5,43
12/13/2015, Lions, Rams,-3,3,41
12/13/2015, Chargers, Chiefs,10.5,-10.5,41
12/13/2015, Saints, Buccaneers,4.5,-4.5,50.5
12/13/2015, Colts, Jaguars,0,0,46
12/13/2015, Titans, Jets,7.5,-7.5,50
12/13/2015, Seahawks, Ravens,-12,12,50
12/13/2015, Raiders, Broncos,7,-7,43.5
12/13/2015, Cowboys, Packers,7,-7,42.5
12/13/2015, Patriots, Texans,-3.5,3.5,45
12/13/2015, Giants, Dolphins,-1.5,1.5,46.5
