Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-12-03, Packers, Lions, -3.0, +3.0, +47.5
2015-12-06, 49ers, Bears, +7.0, -7.0, +42.0
2015-12-06, Jaguars, Titans, +2.0, -2.0, +43.5
2015-12-06, Texans, Bills, +3.5, -3.5, +41.5
2015-12-06, Panthers, Saints, -6.5, +6.5, +50.0
2015-12-06, Seahawks, Vikings, -1.0, +1.0, +40.5
2015-12-06, Falcons, Buccaneers, +1.5, -1.5, +45.0
2015-12-06, Jets, Giants, -0.0, +0.0, +45.5
2015-12-06, Chiefs, Raiders, -3.0, +3.0, +45.0
2015-12-06, Cardinals, Rams, -5.5, +5.5, +43.0
2015-12-06, Broncos, Chargers, -4.5, +4.5, +43.5
2015-12-06, Ravens, Dolphins, +4.5, -4.5, +43.5
2015-12-06, Eagles, Patriots, +10.0, -10.0, +48.5
2015-12-06, Bengals, Browns, -10.0, +10.0, +44.0
2015-12-06, Colts, Steelers, +7.0, -7.0, +48.5
2015-12-07, Cowboys, Redskins, +4.5, -4.5, +43.0
