Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-13, Bills, 148, 33, 132, 27, 17, 5, 44, 0, 0, 13, 16, 5, 1, 0, 1996, 22, Jets, 128, 24, 190, 34, 15, 3, 20, 2, 2, 15, 13, 3, 3, 1, 1604, 17
2015-11-15, Panthers, 119, 34, 184, 26, 21, 5, 45, 0, 0, 24, 13, 7, 0, 0, 2155, 27, Titans, 64, 21, 178, 24, 16, 4, 30, 1, 1, 11, 12, 5, 0, 0, 1445, 10
2015-11-15, Bears, 153, 37, 244, 24, 19, 4, 44, 2, 0, 17, 12, 3, 1, 1, 2062, 37, Rams, 94, 21, 191, 37, 17, 8, 57, 1, 1, 12, 14, 4, 2, 0, 1538, 13
2015-11-15, Browns, 15, 14, 327, 45, 33, 12, 188, 2, 1, 20, 13, 5, 3, 1, 1963, 9, Steelers, 60, 21, 399, 37, 25, 5, 50, 1, 1, 22, 10, 3, 1, 0, 1637, 30
2015-11-15, Cowboys, 42, 21, 174, 29, 19, 6, 65, 0, 1, 12, 13, 4, 0, 0, 1804, 6, Buccaneers, 84, 26, 246, 39, 22, 7, 62, 0, 2, 23, 12, 4, 0, 0, 1796, 10
2015-11-15, Lions, 45, 26, 242, 38, 24, 3, 35, 0, 1, 16, 16, 5, 1, 1, 1840, 18, Packers, 47, 18, 325, 61, 35, 5, 55, 0, 0, 22, 19, 9, 0, 0, 1760, 16
2015-11-15, Jaguars, 90, 22, 168, 45, 22, 4, 30, 0, 1, 22, 16, 4, 0, 0, 1832, 22, Ravens, 89, 21, 308, 45, 34, 9, 121, 2, 2, 22, 14, 8, 1, 0, 1768, 20
2015-11-15, Chiefs, 106, 32, 197, 31, 17, 11, 102, 0, 0, 13, 16, 4, 1, 1, 2007, 29, Broncos, 69, 16, 152, 44, 19, 5, 55, 0, 5, 18, 14, 3, 3, 2, 1593, 13
2015-11-15, Dolphins, 99, 26, 190, 36, 21, 8, 84, 0, 0, 15, 15, 5, 0, 0, 1733, 20, Eagles, 83, 36, 353, 48, 33, 7, 54, 0, 1, 29, 18, 7, 2, 1, 1867, 19
2015-11-15, Vikings, 263, 33, 122, 22, 14, 3, 15, 0, 0, 21, 11, 4, 0, 0, 1981, 30, Raiders, 84, 19, 287, 43, 29, 8, 82, 0, 2, 20, 14, 7, 0, 0, 1619, 14
2015-11-15, Patriots, 77, 23, 329, 42, 26, 7, 93, 1, 1, 22, 14, 7, 1, 1, 1896, 27, Giants, 80, 23, 342, 44, 24, 8, 49, 1, 0, 21, 15, 7, 0, 0, 1704, 26
2015-11-15, Saints, 158, 25, 192, 28, 19, 7, 50, 0, 2, 16, 11, 4, 2, 0, 1586, 14, Redskins, 213, 31, 301, 25, 20, 5, 26, 0, 0, 23, 11, 6, 0, 0, 2014, 47
2015-11-16, Cardinals, 117, 33, 334, 48, 29, 9, 71, 2, 1, 30, 17, 8, 0, 0, 2332, 39, Seahawks, 115, 18, 228, 32, 14, 14, 131, 0, 1, 18, 8, 1, 1, 1, 1268, 32
2015-11-17, Texans, 82, 25, 174, 33, 17, 5, 54, 0, 1, 16, 15, 5, 1, 0, 1714, 10, Bengals, 73, 21, 183, 38, 22, 9, 70, 1, 1, 16, 14, 4, 1, 0, 1886, 6
