Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-18, Broncos, 61, 22, 238, 45, 26, 8, 85, 0, 1, 21, 16, 6, 1, 0, 1861, 31, Chiefs, 147, 28, 167, 25, 16, 9, 60, 3, 2, 20, 7, 0, 0, 0, 1739, 24
2015-09-20, Rams, 67, 13, 146, 32, 17, 9, 80, 0, 0, 11, 12, 2, 1, 0, 1336, 10, Redskins, 182, 37, 191, 27, 23, 7, 53, 1, 0, 19, 16, 8, 0, 0, 2264, 24
2015-09-20, Buccaneers, 139, 35, 194, 21, 14, 11, 90, 2, 0, 18, 14, 5, 0, 0, 1712, 26, Saints, 104, 27, 219, 38, 24, 10, 115, 2, 1, 21, 14, 7, 1, 1, 1888, 19
2015-09-20, Titans, 166, 30, 219, 37, 21, 9, 85, 3, 0, 21, 16, 7, 2, 2, 2111, 14, Browns, 116, 30, 158, 15, 8, 4, 40, 0, 0, 13, 11, 4, 1, 0, 1489, 28
2015-09-20, Cowboys, 109, 33, 250, 34, 25, 18, 142, 2, 0, 21, 12, 4, 0, 0, 2425, 20, Eagles, 7, 17, 219, 37, 23, 8, 60, 1, 2, 17, 11, 2, 1, 1, 1175, 10
2015-09-20, Dolphins, 42, 16, 344, 44, 30, 13, 112, 0, 0, 17, 15, 5, 1, 0, 1792, 20, Jaguars, 123, 33, 273, 33, 18, 9, 93, 0, 0, 19, 14, 5, 0, 0, 1808, 23
2015-09-20, Falcons, 56, 22, 346, 46, 30, 6, 65, 0, 0, 25, 17, 11, 0, 0, 1895, 24, Giants, 97, 23, 291, 40, 27, 6, 35, 1, 0, 19, 17, 10, 1, 0, 1705, 20
2015-09-20, 49ers, 111, 31, 298, 46, 33, 7, 46, 1, 0, 27, 17, 7, 5, 3, 2219, 18, Steelers, 84, 25, 369, 27, 21, 7, 58, 0, 0, 21, 10, 6, 0, 0, 1381, 43
2015-09-20, Texans, 61, 23, 239, 58, 27, 10, 70, 0, 1, 21, 19, 5, 4, 2, 1664, 17, Panthers, 172, 33, 178, 37, 18, 10, 92, 0, 1, 25, 13, 4, 0, 0, 1936, 24
2015-09-20, Patriots, 56, 15, 451, 59, 38, 11, 119, 2, 0, 27, 10, 3, 2, 0, 1797, 40, Bills, 160, 27, 189, 30, 23, 14, 140, 0, 3, 23, 13, 4, 1, 1, 1803, 32
2015-09-20, Lions, 38, 16, 285, 53, 32, 6, 39, 2, 1, 25, 13, 6, 2, 2, 1734, 16, Vikings, 199, 42, 151, 18, 14, 10, 97, 1, 0, 20, 14, 7, 1, 1, 1866, 26
2015-09-20, Ravens, 109, 25, 384, 45, 32, 10, 109, 1, 1, 29, 11, 4, 2, 2, 1826, 33, Raiders, 97, 19, 351, 46, 30, 16, 106, 0, 1, 27, 14, 9, 0, 0, 1774, 37
2015-09-20, Cardinals, 115, 28, 185, 24, 17, 8, 58, 1, 1, 21, 9, 5, 1, 1, 1804, 48, Bears, 109, 28, 226, 32, 22, 14, 170, 0, 2, 18, 12, 2, 1, 0, 1796, 23
2015-09-20, Chargers, 131, 25, 223, 27, 21, 8, 64, 2, 1, 19, 11, 4, 0, 0, 1809, 19, Bengals, 175, 36, 214, 26, 16, 9, 75, 2, 0, 20, 10, 4, 0, 0, 1791, 24
2015-09-21, Seahawks, 119, 25, 205, 30, 19, 6, 92, 1, 1, 21, 9, 3, 0, 0, 1602, 17, Packers, 127, 29, 234, 33, 25, 6, 35, 1, 0, 21, 11, 4, 0, 0, 1998, 27
2015-09-22, Jets, 101, 27, 243, 34, 22, 8, 90, 0, 1, 20, 12, 4, 0, 0, 1908, 20, Colts, 93, 24, 250, 37, 21, 11, 84, 2, 3, 17, 14, 6, 0, 0, 1692, 7
