Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-09-24, Redskins, Giants, +3.5, -3.5, +44.0
2015-09-27, Steelers, Rams, +1.0, -1.0, +48.5
2015-09-27, Chargers, Vikings, +2.5, -2.5, +45.5
2015-09-27, Buccaneers, Texans, +5.5, -5.5, +41.0
2015-09-27, Saints, Panthers, +10.0, -10.0, +43.0
2015-09-27, Jaguars, Patriots, +13.5, -13.5, +49.0
2015-09-27, Bengals, Ravens, +1.5, -1.5, +45.5
2015-09-27, Raiders, Browns, +3.5, -3.5, +43.0
2015-09-27, 49ers, Cardinals, +6.5, -6.5, +44.5
2015-09-27, Bills, Dolphins, +1.5, -1.5, +43.5
2015-09-27, Falcons, Cowboys, -1.0, +1.0, +43.0
2015-09-27, Eagles, Jets, +3.0, -3.0, +47.0
2015-09-27, Colts, Titans, -3.5, +3.5, +46.5
2015-09-27, Bears, Seahawks, +15.5, -15.5, +43.5
2015-09-27, Broncos, Lions, -3.0, +3.0, +44.5
2015-09-28, Chiefs, Packers, +4.5, -4.5, +47.0
