Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-09-17, Broncos, Chiefs, +3.0, -3.0, +42.0
2015-09-20, Texans, Panthers, +3.0, -3.0, +41.5
2015-09-20, Buccaneers, Saints, +8.5, -8.5, +47.0
2015-09-20, Patriots, Bills, +1.5, -1.5, +45.0
2015-09-20, Cardinals, Bears, -2.0, +2.0, +45.5
2015-09-20, Titans, Browns, +1.0, -1.0, +41.0
2015-09-20, Chargers, Bengals, +3.5, -3.5, +47.5
2015-09-20, Rams, Redskins, -3.5, +3.5, +41.5
2015-09-20, Dolphins, Jaguars, -6.0, +6.0, +42.5
2015-09-20, Seahawks, Packers, +3.0, -3.0, +49.0
2015-09-20, 49ers, Steelers, +5.5, -5.5, +46.0
2015-09-20, Lions, Vikings, +2.5, -2.5, +44.0
2015-09-20, Falcons, Giants, +1.5, -1.5, +49.0
2015-09-20, Cowboys, Eagles, +7.0, -7.0, +54.0
2015-09-20, Ravens, Raiders, -5.0, +5.0, +42.5
2015-09-21, Jets, Colts, +6.0, -6.0, +45.0
