Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-02, Ravens, 191, 39, 165, 34, 21, 4, 30, 1, 1, 21, 17, 6, 4, 1, 2263, 23, Steelers, 167, 33, 96, 26, 19, 4, 20, 0, 0, 17, 13, 2, 2, 0, 1929, 20
2015-10-04, Panthers, 133, 33, 111, 22, 11, 5, 45, 1, 0, 17, 11, 3, 0, 0, 1672, 37, Buccaneers, 141, 30, 270, 43, 26, 5, 48, 1, 4, 25, 16, 8, 2, 2, 1928, 23
2015-10-04, Browns, 100, 21, 332, 41, 32, 12, 91, 1, 0, 20, 13, 4, 0, 0, 2059, 27, Chargers, 91, 21, 347, 38, 23, 6, 31, 0, 0, 23, 11, 3, 0, 0, 1541, 30
2015-10-04, Packers, 162, 33, 200, 32, 22, 8, 65, 0, 0, 18, 15, 5, 2, 2, 2194, 17, 49ers, 77, 19, 119, 25, 13, 4, 30, 0, 1, 8, 13, 4, 1, 0, 1406, 3
2015-10-04, Giants, 92, 28, 211, 35, 20, 11, 85, 0, 1, 19, 15, 3, 0, 0, 1833, 24, Bills, 55, 24, 258, 42, 28, 17, 135, 1, 1, 14, 16, 3, 3, 1, 1767, 10
2015-10-04, Jaguars, 142, 28, 289, 50, 28, 13, 92, 0, 0, 21, 18, 7, 0, 0, 2170, 13, Colts, 60, 24, 266, 47, 30, 4, 45, 2, 0, 22, 15, 7, 0, 0, 2054, 16
2015-10-04, Chiefs, 113, 23, 348, 45, 31, 7, 46, 1, 0, 24, 16, 7, 0, 0, 2213, 21, Bengals, 124, 26, 321, 24, 17, 11, 84, 0, 0, 18, 10, 6, 0, 0, 1387, 36
2015-10-04, Vikings, 113, 21, 212, 41, 27, 9, 63, 1, 0, 19, 16, 6, 2, 2, 2034, 20, Broncos, 144, 24, 200, 27, 17, 8, 40, 0, 2, 18, 9, 2, 1, 1, 1566, 23
2015-10-04, Jets, 207, 43, 218, 29, 16, 14, 163, 0, 1, 23, 16, 6, 0, 0, 2243, 27, Dolphins, 59, 11, 167, 44, 19, 9, 80, 0, 2, 17, 12, 0, 4, 0, 1357, 14
2015-10-04, Raiders, 70, 22, 173, 33, 20, 5, 47, 1, 1, 16, 13, 6, 0, 0, 1598, 20, Bears, 98, 29, 273, 43, 28, 7, 48, 2, 1, 23, 17, 10, 1, 1, 2002, 22
2015-10-04, Eagles, 87, 18, 233, 28, 15, 8, 72, 2, 0, 14, 12, 4, 1, 0, 1132, 20, Redskins, 127, 32, 290, 46, 31, 10, 110, 1, 0, 25, 17, 9, 0, 0, 2468, 23
2015-10-04, Rams, 164, 26, 164, 24, 16, 7, 66, 0, 0, 13, 13, 5, 0, 0, 1607, 24, Cardinals, 113, 21, 334, 46, 29, 3, 20, 2, 1, 26, 11, 2, 2, 1, 1993, 22
2015-10-04, Texans, 54, 17, 374, 57, 29, 5, 35, 3, 1, 24, 15, 7, 2, 0, 1448, 21, Falcons, 135, 35, 243, 27, 19, 10, 80, 0, 0, 22, 16, 9, 1, 1, 2152, 48
2015-10-05, Cowboys, 115, 28, 220, 26, 16, 6, 30, 0, 0, 21, 12, 3, 1, 1, 1760, 20, Saints, 103, 25, 335, 41, 33, 8, 64, 0, 0, 27, 13, 6, 1, 1, 1853, 26
2015-10-06, Lions, 53, 18, 203, 35, 24, 4, 37, 1, 0, 12, 13, 3, 0, 0, 1676, 10, Seahawks, 110, 31, 235, 26, 20, 5, 30, 3, 0, 18, 13, 6, 0, 0, 1924, 13
