Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-11-05, Browns, Bengals, +11.5, -11.5, +44.5
2015-11-08, Raiders, Steelers, +4.5, -4.5, +48.0
2015-11-08, Rams, Vikings, +1.0, -1.0, +40.5
2015-11-08, Redskins, Patriots, +14.0, -14.0, +52.0
2015-11-08, Falcons, 49ers, -7.0, +7.0, +43.0
2015-11-08, Giants, Buccaneers, -2.0, +2.0, +49.0
2015-11-08, Eagles, Cowboys, -3.0, +3.0, +44.0
2015-11-08, Dolphins, Bills, +3.0, -3.0, +44.0
2015-11-08, Packers, Panthers, -2.5, +2.5, +46.5
2015-11-08, Broncos, Colts, -4.0, +4.0, +46.0
2015-11-08, Jaguars, Jets, +9.0, -9.0, +42.5
2015-11-08, Titans, Saints, +7.5, -7.5, +48.0
2015-11-09, Bears, Chargers, +4.0, -4.0, +49.5
